"Season 
","Constructor 
","Tyre 
","Drivers [1] 
","Poles 
","Wins 
","Podiums
","Fastest laps 
","Points [2] 
","Margin (points)
","Margin (%)
"
,,,,,,,,,,
1958,Vanwall,Vanwall,,,"5
","6
","9
","3
","48
","8
"
1959,Cooper,Climax,,,"5
","5
","13
","5
","40
","8
"
1960,Cooper,Climax,,,"4
","6
","14
","5
","48
","14
"
1961,Ferrari,Ferrari,,,"6
","5
","14
","5
","45
","10
"
1962,BRM,BRM,,,"1
","4
","8
","3
","42
","6
"
1963,Lotus,Climax,,,"7
","7
","9
","6
","54
","18
"
1964,Ferrari,Ferrari,,,"2
","3
","10
","2
","45
","3
"
1965,Lotus,Climax,,,"6
","6
","7
","6
","54
","9
"
1966,Brabham,Repco,,,"3
","4
","9
","2
","42
","11
"
1967,Brabham,Repco,,,"2
","4
","14
","2
","63
","19
"
1968,Lotus,Ford,,,"5
","5
","9
","5
","62
","13
"
1969,Matra,Ford,,,"2
","6
","10
","6
","66
","17
"
1970,Lotus,Ford,,,"3
","6
","7
","1
","59
","7
"
1971,Tyrrell,Ford,,,"6
","7
","11
","4
","73
","37
"
1972,Lotus,Ford,,,"3
","5
","8
","4
","61
","10
"
1973,Lotus,Ford,,,"10
","7
","15
","7
","92
","10
"
1974,McLaren,Ford,,,"2
","4
","10
","1
","73
","8
"
1975,Ferrari,Ferrari,,,"9
","6
","11
","6
","72.5
","18.5
"
1976,Ferrari,Ferrari,,,"4
","6
","13
","7
","83
","9
"
1977,Ferrari,Ferrari,,,"2
","4
","16
","3
","95
","33
"
1978,Lotus,Ford,,,"12
","8
","14
","7
","86
","28
"
1979,Ferrari,Ferrari,,,"2
","6
","13
","6
","113
","38
"
1980,Williams,Ford,,,"3
","6
","18
","5
","120
","54
"
1981,Williams,Ford,,,"2
","4
","13
","7
","95
","34
"
1982,Ferrari,Ferrari,,,"3
","3
","11
","2
","74
","5
"
1983,Ferrari,Ferrari,,,"8
","4
","12
","3
","89
","10
"
1984,McLaren,TAG,,,"3
","12
","18
","8
","143.5
","86
"
1985,McLaren,TAG,,,"2
","6
","12
","6
","90
","8
"
1986,Williams,Honda,,,"4
","9
","19
","11
","141
","45
"
1987,Williams,Honda,,,"12
","9
","18
","7
","137
","61
"
1988,McLaren,Honda,,,"15
","15
","25
","10
","199
","134
"
1989,McLaren,Honda,,,"15
","10
","18
","8
","141
","64
"
1990,McLaren,Honda,,,"12
","6
","18
","5
","121
","11
"
1991,McLaren,Honda,,,"10
","8
","18
","4
","139
","14
"
1992,Williams,Renault,,,"15
","10
","21
","11
","164
","65
"
1993,Williams,Renault,,,"15
","10
","22
","10
","168
","84
"
1994,Williams,Renault,,,"6
","7
","13
","8
","118
","15
"
1995,Benetton,Renault,,,"4
","11
","15
","8
","137
","25
"
1996,Williams,Renault,,,"12
","12
","21
","11
","175
","105
"
1997,Williams,Renault,,,"10
","8
","15
","9
","123
","21
"
1998,McLaren,Mercedes,,,"12
","9
","20
","9
","156
","23
"
1999,Ferrari,Ferrari,,,"3
","6
","17
","6
","128
","4
"
2000,Ferrari,Ferrari,,,"10
","10
","21
","5
","170
","18
"
2001,Ferrari,Ferrari,,,"11
","9
","24
","3
","179
","77
"
2002,Ferrari,Ferrari,,,"10
","15
","27
","12
","221
","129
"
2003,Ferrari,Ferrari,,,"8
","8
","16
","8
","158
","14
"
2004,Ferrari,Ferrari,,,"12
","15
","29
","14
","262
","143
"
2005,Renault,Renault,,,"7
","8
","18
","3
","191
","9
"
2006,Renault,Renault,,,"7
","8
","19
","5
","206
","5
"
2007,Ferrari,Ferrari,,,"11
","9
","22
","11
","204
",103
2008,Ferrari,Ferrari,,,"8
","8
","19
","13
","172
","21
"
2009,Brawn,Mercedes,,,"5
","8
","15
","4
","172
","18.5
"
2010,Red Bull Racing,Renault,,,"15
","9
","20
","6
",498,"44
"
2011,Red Bull Racing,Renault,,,"18
","12
","28
","10
","650
","153
"
2012,Red Bull Racing,Renault,,,"8
","7
","14
","7
","460
","60
"
2013,Red Bull Racing,Renault,,,"11
","13
","24
","12
","596
","236
"
2014,Mercedes,Mercedes,,,"18
","16
","31
","11
","701
","296
"
2015,Mercedes,Mercedes,,,"18
","16
","32
","13
","703
","275
"
2016,Mercedes,Mercedes,,,"20
","19
","33
","9
","765
","297
"
2017,Mercedes,Mercedes,,,"15
","12
","26
","9
","668
","146
"
2018,Mercedes,Mercedes,,,"13
","11
","25
","10
","655
","84
"
2019,Mercedes,Mercedes,,,"10
","15
","32
","9
","739
","235
"
,,,,,,,,,,
,,,,,,,,,,
