"Season
","Driver
","Age
","Constructor
","Tyres
","Poles 
","Wins
","Podiums
","F. Laps 
","Points 
","% Points 
","Clinched
","Margin
","% Margin 
"
,,,,,,,,,,,,,
1950,Giuseppe Farina,"44
",Alfa Romeo,Alfa Romeo,,"2
","3
","3
","3
","30
","83.333 (47.619)
",Race 7 of 7,"3
"
1951,Juan Manuel Fangio,"40
",Alfa Romeo,Alfa Romeo,,"4
","3
","5
","5
","31
","86.111 (51.389)
",Race 8 of 8,"6
"
1952,Alberto Ascari,"34
",Ferrari,Ferrari,,"5
","6
","6
","6
","36
","100.000 (74.306)
",Race 6 of 8,"12
"
1953,Alberto Ascari,"35
",Ferrari,Ferrari,,"6
","5
","5
","4
","34.5
","95.833 (57.764)
",Race 8 of 9,"6.5
"
1954,Juan Manuel Fangio,"43
",Maserati,Maserati,,"5
","6
","7
","3
","42
","93.333 (70.547)
",Race 7 of 9,"16.857
"
Mercedes,Mercedes,,,,,,,,,,,,
1955,Juan Manuel Fangio,"44
",Mercedes,Mercedes,,"3
","4
","5
","3
","40
","88.889 (65.079)
",Race 6 of 7,"16.5
"
1956,Juan Manuel Fangio,"45
",Ferrari,Ferrari,,"6
","3
","5
","4
","30
","66.667 (45.833)
",Race 8 of 8,"3
"
1957,Juan Manuel Fangio,"46
",Maserati,Maserati,,"4
","4
","6
","2
","40
","88.889 (63.889)
",Race 6 of 8,"15
"
1958,Mike Hawthorn,"29
",Ferrari,Ferrari,,"4
","1
","7
","5
","42
","77.778 (49.495)
",Race 11 of 11,"1
"
1959,Jack Brabham,"33
",,Climax,,"1
","2
","5
","1
","31
","68.889 (41.975)
",Race 9 of 9,"4
"
1960,Jack Brabham,"34
",,Climax,,"3
","5
","5
","3
","43
","89.583 (53.750)
",Race 8 of 10,"9
"
1961,Phil Hill,"34
",,Ferrari,,"5
","2
","6
","2
","34
","75.556 (52.778)
",Race 7 of 8,"1
"
1962,Graham Hill,"33
",,BRM,,"1
","4
","6
","3
","42
","93.333 (64.198)
",Race 9 of 9,"12
"
1963,Jim Clark,"27
",,Climax,,"7
","7
","9
","6
","54
","100.000 (81.111)
",Race 7 of 10,"21
"
1964,John Surtees,"30
",,Ferrari,,"2
","2
","6
","2
","40
","74.074 (44.444)
",Race 10 of 10,"1
"
1965,Jim Clark,"29
",,Climax,,"6
","6
","6
","6
","54
","100.000 (60.000)
",Race 7 of 10,"14
"
1966,Jack Brabham,"40
",,,,"3
","4
","5
","1
","42
","93.333 (55.556)
",Race 7 of 9,"14
"
1967,Denny Hulme,"31
",,,,"0
","2
","8
","2
","51
","62.963 (51.515)
",Race 11 of 11,"5
"
1968,Graham Hill,"39
",,Ford,,"2
","3
","6
","0
","48
","53.333 (44.444)
",Race 12 of 12,"12
"
