,season,constructor,poles,wins,Podiums,Fastest_lap,Points,Margin_points,freq
0,2002.0,Ferrari,10.0,15.0,27.0,12.0,221.0,129.0,16
1,1994.0,Williams,6.0,7.0,13.0,8.0,118.0,15.0,9
2,1988.0,McLaren,15.0,15.0,25.0,10.0,199.0,134.0,8
3,1973.0,Lotus,10.0,7.0,15.0,7.0,92.0,10.0,7
4,2014.0,Mercedes,18.0,16.0,31.0,11.0,701.0,296.0,6
5,2010.0,Red Bull Racing,15.0,9.0,20.0,6.0,498.0,44.0,4
6,2005.0,Renault,7.0,8.0,18.0,3.0,191.0,9.0,2
7,1959.0,Cooper,5.0,5.0,13.0,5.0,40.0,8.0,2
8,1967.0,Brabham,2.0,4.0,14.0,2.0,63.0,19.0,2
9,1995.0,Benetton,4.0,11.0,15.0,8.0,137.0,25.0,1
10,1971.0,Tyrrell,6.0,7.0,11.0,4.0,73.0,37.0,1
11,2009.0,Brawn,5.0,8.0,15.0,4.0,172.0,18.5,1
12,1969.0,Matra,2.0,6.0,10.0,6.0,66.0,17.0,1
13,1962.0,BRM,1.0,4.0,8.0,3.0,42.0,6.0,1
14,1958.0,Vanwall,5.0,6.0,9.0,3.0,48.0,8.0,1
